filename,directory,x1,y1,x2,y2,confidence,class
photo_10@03-10-2022_08-16-30.jpg,CheMed,576.6428,380.43253,606.6428,461.3649,0.65496725,bottle
photo_10@03-10-2022_08-16-30.jpg,CheMed,504.80273,451.70038,543.1361,543.512,0.46841452,bottle
photo_10@03-10-2022_08-16-30.jpg,CheMed,610.3174,525.5266,639.52734,605.15454,0.3661338,bottle
photo_10@03-10-2022_08-16-30.jpg,CheMed,691.6568,903.7068,830.60724,1046.7551,0.3436572,remote
photo_10@03-10-2022_08-16-30.jpg,CheMed,547.9226,394.1588,578.6332,454.3977,0.32622936,bottle
photo_10@03-10-2022_08-16-30.jpg,CheMed,397.99643,506.01312,441.4249,611.6672,0.29480684,bottle
photo_10@03-10-2022_08-16-30.jpg,CheMed,602.545,390.77905,631.9495,453.20184,0.29166606,bottle
photo_10@03-10-2022_08-16-30.jpg,CheMed,273.84155,49.025818,745.9922,907.068,0.26793185,refrigerator
photo_10@03-10-2022_08-16-30.jpg,CheMed,400.04166,289.3641,444.6992,368.85507,0.26619858,bottle
photo_10@03-10-2022_08-16-30.jpg,CheMed,582.33026,536.9662,613.243,599.5239,0.26200837,bottle
photo_12@12-10-2022_17-14-19.jpg,CheMed,51.385223,380.89917,570.75256,860.4292,0.8947721,person
photo_12@12-10-2022_17-14-19.jpg,CheMed,679.1854,428.7404,1183.2272,882.28467,0.86662686,person
photo_12@12-10-2022_17-14-19.jpg,CheMed,1178.6835,59.821045,1280.0,845.0791,0.5102859,person
photo_12@12-10-2022_17-14-19.jpg,CheMed,666.40326,701.99976,712.6203,839.0383,0.26238215,chair
photo_15@18-10-2022_10-57-36.jpg,CheMed,136.31676,143.78246,589.99005,628.318,0.7558437,cell phone
photo_15@18-10-2022_10-57-36.jpg,CheMed,273.318,78.15629,811.6278,421.88895,0.45940578,book
photo_16@20-10-2022_15-24-01.jpg,CheMed,73.95907,422.91226,310.82858,693.787,0.29476875,book
photo_17@24-10-2022_12-34-19.jpg,CheMed,475.31873,147.11856,777.83295,617.0084,0.54962915,cell phone
photo_17@24-10-2022_12-34-19.jpg,CheMed,305.02927,502.64197,857.6466,782.06146,0.26944685,person
photo_18@28-10-2022_09-49-36.jpg,CheMed,736.82166,16.681366,1277.9891,727.04333,0.4813639,cup
photo_1@05-09-2022_12-57-09.jpg,CheMed,692.9684,612.08545,734.5839,655.0871,0.6780872,sports ball
photo_1@05-09-2022_12-57-09.jpg,CheMed,642.8255,652.55237,689.41364,696.1634,0.577223,sports ball
photo_1@05-09-2022_12-57-09.jpg,CheMed,770.11456,610.25885,826.86456,650.2816,0.5318232,sports ball
photo_1@05-09-2022_12-57-09.jpg,CheMed,207.61597,646.4741,261.04578,695.7009,0.4785161,sports ball
photo_1@05-09-2022_12-57-09.jpg,CheMed,619.87933,622.2957,668.8742,665.72424,0.45341107,sports ball
